ID,Correo_Remitente,Asunto,Contenido,Palabras_Clave,Longitud_Caracteres,Dominio_gratuito,Numero_links,Caracteres_Especiales,Categoria
117,jacobsmike@ochoa-thomas.org,Gana dinero rápido desde casa,Gana hasta 488$ diarios con esta inversión secreta.,0,51,0,0,1,spam
118,jordanmegan@gmail.com,OFERTA EXCLUSIVA SOLO PARA TI,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
119,xho@gmail.com,Reunión programada para mañana,Recuerda que la reunión será el 14/02/2025 en la sala 206.,0,58,1,0,0,ham
120,colleenkennedy@hotmail.com,"ACTUALIZACIÓN DEL PROYECTO EN LUTZ, GREEN AND ROGERS","Hola Lori Martin, adjunto el documento solicitado sobre extend magnetic users.",0,78,1,0,0,ham
121,tracy20@gmail.com,Entrega de informe pendiente,Recuerda que la reunión será el 04/01/2025 en la sala 301.,0,58,1,0,0,ham
122,burnsadam@hoffman.net,Confirmación de cita médica,Recuerda que la reunión será el 14/02/2025 en la sala 395. !!! $$$,0,66,0,0,6,ham
123,connieharris@acevedo.com,Confirmación de cita médica,La entrega de tu pedido está programada para 06/08/2025. !!! $$$,0,64,0,0,6,ham
124,amy79@martin-castro.info,Última oportunidad para reclamar tu premio,Gana hasta 184$ diarios con esta inversión secreta.,0,51,0,0,1,spam
125,vanessamccall@bell.com,HAZ CLIC AQUÍ PARA OBTENER UN REGALO,"Su cuenta ha sido comprometida, ingrese sus datos aquí: http://blake.net/",0,73,0,1,0,spam
126,ginakidd@reyes.org,Tu cuenta ha sido bloqueada,Ofrecemos préstamos inmediatos sin verificación. !!! $$$,0,56,0,0,6,spam
127,buckmichelle@brady-hampton.com,Invitación al cumpleaños de Anthony,El proyecto en Haney-Bradley tiene un avance del 86%.,0,53,0,0,1,ham
128,trodriguez@yahoo.com,Reunión programada para mañana,El proyecto en Wilson-Mckenzie tiene un avance del 69%. !!! $$$,0,63,1,0,7,ham
129,adamjimenez@gmail.com,Tu cuenta ha sido bloqueada,Haz clic en este enlace para reclamar tu premio ahora: https://www.guerrero.com/,1,80,1,1,0,spam
130,andrew05@yahoo.com,"ACTUALIZACIÓN DEL PROYECTO EN REED, HUGHES AND RAMIREZ",Recuerda que la reunión será el 26/08/2025 en la sala 331.,0,58,1,0,0,ham
131,sandovaltony@nash.com,Tu cuenta ha sido bloqueada,Haz clic en este enlace para reclamar tu premio ahora: https://williams.biz/,1,76,0,1,0,spam
132,florestammy@gmail.com,Gana dinero rápido desde casa,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
133,caitlin80@martin.com,Entrega de informe pendiente,La entrega de tu pedido está programada para 13/02/2025. !!! $$$,0,64,0,0,6,ham
134,zavalawilliam@gmail.com,Oferta exclusiva solo para ti,Gana hasta 95$ diarios con esta inversión secreta.,0,50,1,0,1,spam
135,tammywhite@hotmail.com,Tu cuenta ha sido bloqueada,"Su cuenta ha sido comprometida, ingrese sus datos aquí: http://www.sawyer.com/",0,78,1,1,0,spam
136,alejandro75@henderson.net,Última oportunidad para reclamar tu premio,Haz clic en este enlace para reclamar tu premio ahora: http://wright.com/,1,73,0,1,0,spam
137,cnorton@hotmail.com,Oferta exclusiva solo para ti,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
138,stewartjason@smith.com,Invitación al cumpleaños de Anthony,Recuerda que la reunión será el 16/05/2025 en la sala 497.,0,58,0,0,0,ham
139,dshaw@hotmail.com,Tu cuenta ha sido bloqueada,Gana hasta 332$ diarios con esta inversión secreta. !!! $$$,0,59,1,0,7,spam
140,rmontgomery@yahoo.com,ENTREGA DE INFORME PENDIENTE,La entrega de tu pedido está programada para 01/02/2025.,0,56,1,0,0,ham
141,sandra00@outlook.com,Oferta exclusiva solo para ti,Haz clic en este enlace para reclamar tu premio ahora: https://young.com/,1,73,1,1,0,spam
142,dhowe@yahoo.com,Invitación al cumpleaños de Melissa,"El proyecto en Berry, Graham and Blankenship tiene un avance del 46%.",0,69,1,0,1,ham
143,rgross@yahoo.com,Haz clic aquí para obtener un regalo,Gana hasta 281$ diarios con esta inversión secreta.,0,51,1,0,1,spam
144,suzanne07@alvarado-perez.com,Invitación al cumpleaños de William,"Hola Michael Evans, adjunto el documento solicitado sobre harness cross-media web services.",0,91,0,0,0,ham
145,david03@gmail.com,ENTREGA DE INFORME PENDIENTE,"El proyecto en Guzman, Perez and George tiene un avance del 65%.",0,64,1,0,1,ham
146,barnetttravis@king.biz,CONFIRMACIÓN DE CITA MÉDICA,"Hola Phyllis Perkins, adjunto el documento solicitado sobre envisioneer 24/365 e-commerce. !!! $$$",0,98,0,0,6,ham
147,ywilliams@smith.com,Reunión programada para mañana,El proyecto en Stevens and Sons tiene un avance del 45%.,0,56,0,0,1,ham
148,ashleygarcia@terrell.com,Tu cuenta ha sido bloqueada,Gana hasta 71$ diarios con esta inversión secreta.,0,50,0,0,1,spam
149,whoover@chung.net,Reunión programada para mañana,Recuerda que la reunión será el 07/08/2025 en la sala 159.,0,58,0,0,0,ham
150,kirkjoshua@outlook.com,ENTREGA DE INFORME PENDIENTE,Recuerda que la reunión será el 06/06/2025 en la sala 158.,0,58,1,0,0,ham
151,belindamiller@thomas-harrington.net,Confirmación de cita médica,La entrega de tu pedido está programada para 09/08/2025.,0,56,0,0,0,ham
152,zvalencia@hotmail.com,GANA DINERO RÁPIDO DESDE CASA,"Su cuenta ha sido comprometida, ingrese sus datos aquí: https://rivera.com/ !!! $$$",0,83,1,1,6,spam
153,iberg@hotmail.com,Confirmación de cita médica,"Hola Jacob Freeman, adjunto el documento solicitado sobre visualize efficient architectures.",0,92,1,0,0,ham
154,bestzachary@hotmail.com,Confirmación de cita médica,Recuerda que la reunión será el 27/04/2025 en la sala 433. !!! $$$,0,66,1,0,6,ham
155,llawrence@leon.com,Confirmación de cita médica,El proyecto en Barrett-Flores tiene un avance del 31%.,0,54,0,0,1,ham
156,austin36@outlook.com,Invitación al cumpleaños de Timothy,La entrega de tu pedido está programada para 12/03/2025.,0,56,1,0,0,ham
157,wjones@chapman.info,ÚLTIMA OPORTUNIDAD PARA RECLAMAR TU PREMIO,Ofrecemos préstamos inmediatos sin verificación.,0,48,0,0,0,spam
158,loribecker@hotmail.com,Última oportunidad para reclamar tu premio,Gana hasta 282$ diarios con esta inversión secreta. !!! $$$,0,59,1,0,7,spam
159,qgill@murphy.net,Tu cuenta ha sido bloqueada,Haz clic en este enlace para reclamar tu premio ahora: https://www.miller-bishop.com/,1,85,0,1,0,spam
160,dawnjones@hotmail.com,HAZ CLIC AQUÍ PARA OBTENER UN REGALO,"Su cuenta ha sido comprometida, ingrese sus datos aquí: http://www.taylor-andrews.info/",0,87,1,1,0,spam
161,paul40@brown-le.biz,Última oportunidad para reclamar tu premio,"Su cuenta ha sido comprometida, ingrese sus datos aquí: https://www.johnson.com/",0,80,0,1,0,spam
162,rioskenneth@chen.com,Tu cuenta ha sido bloqueada,Gana hasta 214$ diarios con esta inversión secreta.,0,51,0,0,1,spam
163,rebecca88@outlook.com,ENTREGA DE INFORME PENDIENTE,La entrega de tu pedido está programada para 08/04/2025.,0,56,1,0,0,ham
164,richard98@hotmail.com,HAZ CLIC AQUÍ PARA OBTENER UN REGALO,Haz clic en este enlace para reclamar tu premio ahora: http://www.brown.org/,1,76,1,1,0,spam
165,nelsonelizabeth@outlook.com,Gana dinero rápido desde casa,"Su cuenta ha sido comprometida, ingrese sus datos aquí: http://www.edwards.info/",0,80,1,1,0,spam
166,adavis@gmail.com,Última oportunidad para reclamar tu premio,Haz clic en este enlace para reclamar tu premio ahora: http://green.info/ !!! $$$,1,81,1,1,6,spam
167,jamessmith@smith.com,Confirmación de cita médica,Recuerda que la reunión será el 14/07/2025 en la sala 246.,0,58,0,0,0,ham
168,sharonanderson@higgins.com,Entrega de informe pendiente,La entrega de tu pedido está programada para 28/01/2025.,0,56,0,0,0,ham
169,gregorysmith@yahoo.com,Tu cuenta ha sido bloqueada,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
170,karen63@hotmail.com,GANA DINERO RÁPIDO DESDE CASA,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
171,vgreene@hansen-fowler.com,ÚLTIMA OPORTUNIDAD PARA RECLAMAR TU PREMIO,Gana hasta 358$ diarios con esta inversión secreta. !!! $$$,0,59,0,0,7,spam
172,qsimon@barry-butler.biz,Última oportunidad para reclamar tu premio,Gana hasta 253$ diarios con esta inversión secreta. !!! $$$,0,59,0,0,7,spam
173,scole@gmail.com,Última oportunidad para reclamar tu premio,Gana hasta 486$ diarios con esta inversión secreta.,0,51,1,0,1,spam
174,laura03@gmail.com,REUNIÓN PROGRAMADA PARA MAÑANA,"Hola Jay Meza, adjunto el documento solicitado sobre exploit innovative systems. !!! $$$",0,88,1,0,6,ham
175,carsondavid@outlook.com,Tu cuenta ha sido bloqueada,Haz clic en este enlace para reclamar tu premio ahora: http://martinez-martin.com/,1,82,1,1,0,spam
176,ryan93@kennedy-martinez.com,Tu cuenta ha sido bloqueada,Gana hasta 419$ diarios con esta inversión secreta.,0,51,0,0,1,spam
177,iwillis@hotmail.com,Entrega de informe pendiente,El proyecto en Pennington-Wilson tiene un avance del 79%.,0,57,1,0,1,ham
178,gbooth@gmail.com,TU CUENTA HA SIDO BLOQUEADA,Haz clic en este enlace para reclamar tu premio ahora: http://gardner.com/,1,74,1,1,0,spam
179,franksabrina@outlook.com,Haz clic aquí para obtener un regalo,Gana hasta 309$ diarios con esta inversión secreta.,0,51,1,0,1,spam
180,mccarthyjennifer@brown-pierce.com,Última oportunidad para reclamar tu premio,Gana hasta 151$ diarios con esta inversión secreta.,0,51,0,0,1,spam
181,hsteele@hotmail.com,Entrega de informe pendiente,El proyecto en Morris-Webster tiene un avance del 86%.,0,54,1,0,1,ham
